"id","name","bank_code","type_selection"
"res_bank_0011","농협은행","0011","bank"
"res_bank_0033","기업은행","0003","bank"
"res_bank_0004","국민은행","0004","bank"
"res_bank_0020","우리은행","0020","bank"
"res_bank_0088","신한은행","0088","bank"
"res_bank_0081","하나은행","0081","bank"
"res_bank_0023","SC제일은행","0023","bank"
"res_bank_0002","산업은행","0002","bank"
"res_bank_0027","씨티은행","0027","bank"
"res_bank_0031","대구은행","0031","bank"
"res_bank_0032","부산은행","0032","bank"
"res_bank_0039","경남은행","0039","bank"
"res_bank_0034","광주은행","0034","bank"
"res_bank_0037","전북은행","0037","bank"
"res_bank_0035","제주은행","0035","bank"
"res_bank_0071","우체국","0071","bank"
"res_bank_0045","새마을금고","0045","bank"
"res_bank_0048","신협","0048","bank"
"res_bank_0007","수협","0007","bank"
"account_card_1","KB","30000001","card"
"account_card_2","현대","30000002","card"
"account_card_3","삼성","30000003","card"
"account_card_4","외환","30000004","card"
"account_card_5","비씨","30000006","card"
"account_card_6","신한","30000008","card"
"account_card_7","하나","30000010","card"
"account_card_8","광주","30000012","card"
"account_card_9","수협","30000013","card"
"account_card_10","전북","30000014","card"
"account_card_11","하나","30000015","card"
"account_card_12","씨티","30000016","card"
"account_card_13","아맥스(롯데)","30000017","card"
"account_card_14","우리","30000018","card"
"account_card_15","롯데(개인카드)","30000019","card"
"account_card_16","산은","30000020","card"
"account_card_17","NH농협","30000021","card"
"account_card_18","비씨(기업)","30000060","card"
"account_card_19","비씨(SC)","30000061","card"
"account_card_20","비씨(부산)","30000062","card"
"account_card_21","비씨(대구)","30000063","card"
"account_card_22","비씨(경남)","30000064","card"
"account_card_23","비씨(우리)","30000065","card"
"account_card_24","비씨(하나)","30000066","card"
"account_card_25","비씨(농협)","30000067","card"
"account_card_26","비씨(국민)","30000068","card"
"account_card_27","비씨(신한)","30000069","card"
"account_card_28","비씨(씨티)","30000070","card"
"account_card_29","기타(간이)영수증","30000071","card"







